"",,,Lis Penden Filings,,,
2013 Monthly Totals,Fairfield,Hartford,Litchfield Middlesex,New Haven New London,Tolland,Windham
"Jan 1,206",269,287,81 43,334 91,52,49
"Feb 1,405",425,294,97 53,355 105,31,45
"Mar 2,084",568,519,113 75,541 120,68,80
"Apr 2,082",597,376,155 88,582 145,62,77
"May 1,734",476,352,98 89,414 167,70,68
"Jun 2,047",512,462,95 74,593 174,54,83
"Jul 1,835",437,370,99 107,555 143,45,79
"Aug 2,094",617,460,100 78,518 148,71,102
"Sept 1,711",458,325,92 67,499 158,54,58
"Oct 1,661",471,251,76 56,546 155,45,61
"Nov 1,520",392,283,82 85,475 113,44,46
"Dec 1,593",476,332,89 67,410 111,39,69
"Totals 20,972","5,698","4,311","1,177 882","5,822 1,630",635,817
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Andover 10,0,0,1,1,3,1,0,0,2,1,0,1
Ansonia 168,10,12,8,20,21,10,16,9,7,10,18,27
Ashford 4,0,0,0,0,1,0,0,1,0,1,1,0
Avon 47,3,2,6,6,3,7,1,3,3,3,6,4
Barkhamsted 3,0,1,0,0,0,1,0,0,0,0,0,1
Beacon Falls 46,3,5,1,4,10,5,2,2,3,5,4,2
Berlin 63,4,5,8,7,5,6,9,5,3,2,3,6
Bethany 18,0,1,8,0,2,1,1,1,1,1,2,0
Bethel 118,4,8,12,12,10,14,14,12,15,6,4,7
Bethlehem 9,1,0,1,3,1,0,0,2,1,0,0,0
Bloomfield 175,25,9,16,24,4,10,22,23,9,7,10,16
Bolton 11,0,0,2,3,1,0,0,1,0,2,2,0
Bozrah 10,0,0,1,1,1,0,0,1,1,4,0,1
Branford 184,5,23,29,22,10,21,13,12,12,10,9,18
"Bridgeport 2,143",82,198,185,243,152,192,141,210,182,176,183,199
Bridgewater 7,0,1,1,1,0,1,0,1,1,0,0,1
Bristol 433,30,17,55,27,41,58,38,45,33,27,25,37
Brookfield 79,6,4,3,10,4,10,7,7,7,8,5,8
Brooklyn 73,3,2,6,9,6,7,9,7,6,7,7,4
Burlington 20,4,1,2,3,2,0,1,2,1,0,1,3
Canaan 6,0,2,1,0,0,1,0,0,1,0,1,0
Canterbury 43,3,3,4,1,4,2,8,4,8,0,1,5
Canton 45,2,5,5,7,5,4,6,3,2,3,1,2
Chaplin 18,3,1,4,1,0,2,0,1,0,4,0,2
Cheshire 99,6,4,12,15,7,17,5,6,11,5,5,6
Chester 14,0,0,3,2,5,1,0,0,0,3,0,0
"",2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Clinton,80,2,0,10,10,7,10,7,6,6,7,10,5
Colchester,100,4,4,16,8,7,12,8,7,7,10,10,7
Colebrook,9,1,2,0,2,0,0,1,1,1,0,1,0
Columbia,33,4,0,1,3,5,3,3,4,1,3,2,4
Cornwall,2,0,0,0,0,2,0,0,0,0,0,0,0
Coventry,70,3,1,9,8,4,7,6,6,6,5,9,6
Cromwell,89,6,5,5,8,12,4,9,14,8,4,8,6
Danbury,485,26,28,66,42,46,56,27,53,45,36,23,37
Darien,39,2,1,4,2,5,3,2,11,1,1,2,5
Deep River,24,0,1,3,2,8,0,2,3,1,0,0,4
Derby,124,10,1,9,20,14,6,13,10,12,4,12,13
Durham,40,2,2,1,3,4,1,3,6,1,2,4,11
East Granby,22,0,1,6,2,0,1,2,1,3,4,1,1
East Haddam,46,2,4,1,7,5,1,3,3,6,6,5,3
East Hampton,64,3,2,11,5,6,6,7,6,6,1,5,6
East Hartford,416,35,34,52,28,46,41,27,39,27,21,24,42
East Haven,437,22,11,42,28,19,41,68,54,52,28,31,41
East Lyme,76,2,5,7,3,5,2,12,15,7,6,3,9
East Windsor,107,8,2,11,11,11,8,15,8,4,3,22,4
Eastford,9,1,0,1,2,1,0,0,1,1,0,1,1
