"",,,Lis Penden Filings,,,
2013 Monthly Totals,Fairfield,Hartford,Litchfield Middlesex,New Haven New London,Tolland,Windham
"Jan 1,206",269,287,81 43,334 91,52,49
"Feb 1,405",425,294,97 53,355 105,31,45
"Mar 2,084",568,519,113 75,541 120,68,80
"Apr 2,082",597,376,155 88,582 145,62,77
"May 1,734",476,352,98 89,414 167,70,68
"Jun 2,047",512,462,95 74,593 174,54,83
"Jul 1,835",437,370,99 107,555 143,45,79
"Aug 2,094",617,460,100 78,518 148,71,102
"Sept 1,711",458,325,92 67,499 158,54,58
"Oct 1,661",471,251,76 56,546 155,45,61
"Nov 1,520",392,283,82 85,475 113,44,46
"Dec 1,593",476,332,89 67,410 111,39,69
"Totals 20,972","5,698","4,311","1,177 882","5,822 1,630",635,817
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Easton,29,0,3,3,2,3,3,2,6,2,0,0,5
Ellington,52,4,2,5,6,5,3,6,7,5,7,1,1
Enfield,232,17,11,19,33,18,21,12,37,13,21,17,13
Essex,22,0,1,0,4,2,2,1,1,2,5,2,2
Fairfield,235,18,12,28,16,28,16,28,19,9,18,18,25
Farmington,71,3,4,10,5,3,9,7,9,3,9,5,4
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Franklin 6,1,0,0,0,1,1,1,0,1,0,0,1
Glastonbury 113,5,16,15,5,12,11,5,10,13,4,6,11
Goshen 13,1,0,0,2,0,0,5,1,0,1,3,0
Granby 43,3,3,5,0,5,4,8,5,3,2,0,5
Greenwich 115,4,13,8,14,13,13,7,12,6,10,9,6
Griswold 104,4,8,7,15,12,5,18,5,9,12,3,6
Groton 177,9,18,14,15,28,19,15,15,13,12,12,7
Guilford 98,6,5,11,5,11,10,11,10,5,6,9,9
Haddam 48,1,5,4,3,2,2,15,4,2,6,4,0
Hamden 347,21,9,55,27,24,35,27,47,33,32,21,16
Hampton 6,0,0,1,0,0,0,0,1,2,1,0,1
Hartford 598,30,54,94,44,43,53,58,56,48,42,42,34
Hartland 7,0,0,1,1,0,0,2,1,1,0,1,0
Harwinton 17,1,2,0,7,1,0,0,0,0,0,3,3
Hebron 42,2,2,6,4,2,7,3,3,5,0,4,4
Kent 14,0,2,0,1,2,0,0,2,2,0,2,3
Killingly 169,7,10,11,22,23,16,18,23,12,8,9,10
Killingworth 37,0,3,2,4,2,2,13,2,0,4,1,4
Lebanon 46,1,3,4,5,1,11,1,6,7,3,2,2
Ledyard 143,7,12,11,13,13,15,18,8,26,6,8,6
Lisbon 27,2,1,1,1,2,1,6,2,1,4,3,3
Litchfield 14,0,2,3,5,0,1,2,0,0,0,1,0
Lyme 9,1,2,0,0,1,2,0,0,1,2,0,0
Madison 65,1,0,3,6,3,6,10,10,5,6,4,11
Manchester 308,22,22,39,28,20,35,30,31,24,17,17,23
Mansfield 30,5,0,4,0,4,1,1,3,3,2,4,3
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Marlborough 25,0,1,3,3,1,5,2,4,0,1,0,5
Meriden 567,39,47,63,45,37,36,51,62,57,65,46,19
Middlebury 26,1,2,1,1,5,0,4,3,5,1,0,3
Middlefield 28,3,2,9,0,4,2,0,1,1,2,2,2
Middletown 280,19,19,22,31,24,32,37,23,20,13,21,19
Milford 287,8,14,17,28,35,30,28,30,25,22,18,32
Monroe 107,5,3,8,10,7,8,7,15,5,16,12,11
Montville 123,8,6,10,13,14,13,11,11,9,16,9,3
Morris 12,1,0,0,1,1,1,3,1,3,0,1,0
Naugatuck 287,13,10,34,29,27,28,29,23,37,22,20,15
New Britain 437,31,22,46,32,31,65,33,55,35,17,30,40
New Canaan 50,4,6,6,4,0,6,3,6,2,4,5,4
New Fairfield 73,3,8,4,6,11,7,5,5,8,9,2,5
New Hartford 16,5,1,0,7,2,0,0,0,0,0,0,1
New Haven 773,40,50,66,123,56,83,49,47,75,52,86,46
New London 163,9,5,5,19,11,26,5,17,23,19,15,9
New Milford 245,13,20,23,26,19,26,25,30,15,13,16,19
Newington 25,2,1,2,1,4,3,4,0,5,1,1,1
Newtown 176,14,16,14,17,22,24,15,18,8,13,4,11
Norfolk 11,2,1,2,1,0,0,1,1,0,2,0,1
North Branford 79,5,6,11,7,2,10,7,10,8,5,6,2
North Canaan 13,0,1,3,2,1,2,0,2,1,0,1,0
North Haven 93,5,8,11,5,7,16,6,9,6,3,13,4
North Stonington 45,1,2,3,5,2,3,2,8,5,3,0,11
Norwalk 439,37,21,53,52,47,25,39,49,24,36,20,36
Norwich 321,23,16,21,31,37,35,28,30,27,29,16,28
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Old Lyme 25,0,3,0,3,1,3,3,4,3,3,2,0
Old Saybrook 42,3,5,1,0,3,7,2,2,5,2,11,1
Orange 49,0,2,3,4,6,3,4,6,9,6,3,3
Oxford 53,1,1,7,4,5,6,5,6,0,3,10,5
Plainfield 144,9,7,15,17,10,13,13,15,8,12,11,14
Plainville 114,6,11,13,14,6,11,13,11,9,3,5,12
Plymouth 100,4,6,13,9,10,6,4,9,8,7,9,15
Pomfret 12,1,0,0,1,1,3,0,1,0,3,2,0
Portland 26,1,0,0,5,3,1,4,3,2,0,6,1
Preston 31,5,3,5,2,0,4,0,2,6,0,2,2
Prospect 35,2,1,2,7,1,4,6,3,3,3,2,1
Putnam 71,5,3,11,5,3,6,5,10,4,10,1,8
Redding 42,3,3,2,7,1,1,1,6,6,5,4,3
Ridgefield 90,6,8,10,8,8,8,10,6,8,7,8,3
Rocky Hill 56,4,6,5,3,4,4,0,9,6,6,5,4
Roxbury 14,1,2,0,0,0,4,1,1,1,1,2,1
Salem 26,0,2,1,2,5,2,2,1,3,3,3,2
Salisbury 11,2,0,0,2,0,3,1,0,1,0,1,1
Scotland 14,0,0,2,0,3,1,2,0,2,1,1,2
Seymour 93,9,2,7,9,10,10,4,11,9,10,7,5
Sharon 18,2,2,1,1,1,1,2,3,4,0,1,0
Shelton 196,4,7,19,21,15,15,16,19,13,20,19,28
Sherman 21,0,2,2,3,2,1,1,3,1,3,3,0
Simsbury 65,6,3,8,13,5,4,3,7,4,2,4,6
Somers 30,3,3,2,2,6,1,1,3,4,3,2,0
South Windsor 113,6,8,17,7,16,8,9,17,12,5,7,1
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Southbury 79,6,5,5,10,4,11,6,7,3,8,7,7
Southington 179,8,10,15,15,13,26,9,27,18,21,8,9
Sprague 17,1,0,1,1,4,0,5,3,0,0,1,1
Stafford 94,10,5,6,11,12,7,8,13,5,3,9,5
Stamford 488,26,40,57,62,13,40,44,57,40,44,33,32
Sterling 42,7,4,4,2,3,5,5,3,2,0,1,6
Stonington 7,0,0,0,0,0,2,0,0,1,2,1,1
Stratford 431,12,24,45,32,56,28,46,56,49,38,19,26
Suffield 54,2,7,9,2,3,5,7,1,6,2,4,6
Thomaston 43,2,3,6,8,0,4,1,0,3,7,6,3
Thompson 52,1,4,8,2,5,2,8,8,4,5,2,3
Tolland 66,4,3,6,4,10,2,6,7,6,7,5,6
Torrington 306,23,24,36,38,30,17,25,22,25,28,16,22
Trumbull 180,6,10,16,21,15,23,14,27,18,10,11,9
Union 2,0,1,0,0,0,0,1,0,0,0,0,0
Vernon 175,16,11,23,20,16,16,9,24,17,10,5,8
Voluntown 27,1,3,1,0,3,8,0,3,0,1,3,4
Wallingford 223,20,9,23,23,15,26,21,18,23,13,17,15
Warren 10,1,1,1,0,3,0,0,2,0,2,0,0
Washington 23,7,1,2,2,2,3,0,1,1,1,2,1
"Waterbury 1,006",68,96,69,79,37,114,115,58,63,159,83,65
Waterford 147,12,12,12,8,19,10,8,10,8,20,20,8
Watertown 116,8,7,8,18,11,8,13,10,12,7,10,4
West Hartford 162,12,10,16,11,14,14,13,20,9,12,11,20
West Haven 453,28,24,34,50,33,52,39,55,24,54,35,25
Westbrook 42,1,4,3,4,2,3,4,4,7,1,6,3
2013 Municipality totals,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Weston 35,2,4,5,1,2,3,1,9,3,1,1,3
Westport 70,3,3,8,8,10,11,5,4,4,3,5,6
Wethersfield 98,7,6,13,7,10,11,5,15,6,7,5,6
Willington 20,1,3,3,0,2,6,1,0,0,2,1,1
Wilton 57,2,3,10,4,6,5,2,7,2,7,2,7
Winchester 84,4,9,8,11,10,11,9,5,6,3,4,4
Windham 122,6,5,10,14,6,24,7,20,5,5,9,11
Windsor 204,9,13,23,30,18,25,19,8,19,7,20,13
Windsor Locks 79,3,10,5,7,9,13,10,8,6,2,2,4
Wolcott 96,2,4,7,9,8,11,10,5,7,9,7,17
Woodbridge 37,3,3,3,2,5,1,5,4,4,4,0,3
Woodbury 61,2,7,4,8,2,5,6,6,6,4,2,9
Woodstock 38,3,6,3,1,2,2,4,7,4,4,0,2
"Monthly Totals 20,972","1,206","1,405","2,084","2,082","1,734","2,047","1,835","2,094","1,711","1,661","1,520","1,593"
"",,,Foreclosure Deed Filings,,,
2013 Monthly Totals,Fairfield,Hartford,Litchfield Middlesex New Haven,New London,Tolland,Windham
Jan 276,48,75,24 5 83,11,16,14
Feb 240,39,83,27 7 45,10,9,20
Mar 341,44,109,33 5 89,17,14,30
Apr 262,38,82,21 1 67,14,7,32
May 220,22,97,26 8 28,11,12,16
Jun 350,52,98,19 5 117,26,15,18
Jul 340,50,87,18 3 129,24,13,16
Aug 485,90,126,27 7 143,21,19,52
Sept 403,66,99,19 7 135,33,14,30
Oct 458,83,79,33 12 204,13,14,20
Nov 402,61,82,28 7 153,37,7,27
Dec 392,73,99,32 4 116,27,22,19
"Totals 4,169",666,"1,116","307 71 1,309",244,162,294
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Andover 1,0,0,0,0,0,0,0,0,1,0,0,0
Ansonia 32,3,3,0,1,1,7,1,2,4,1,2,7
Ashford 0,0,0,0,0,0,0,0,0,0,0,0,0
Avon 0,0,0,0,0,0,0,0,0,0,0,0,0
Barkhamsted 0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Falls 10,0,1,0,0,0,0,1,4,1,1,2,0
Berlin 11,2,2,2,0,0,0,0,1,1,0,0,3
Bethany 3,0,0,1,0,0,0,0,0,1,1,0,0
Bethel 24,3,2,3,0,0,2,0,4,4,2,2,2
Bethlehem 7,1,1,1,0,1,1,0,0,0,1,0,1
Bloomfield 53,4,4,6,7,6,3,4,3,6,4,2,4
Bolton 4,0,1,1,0,0,1,0,1,0,0,0,0
Bozrah 3,0,0,0,0,1,0,0,1,0,1,0,0
Branford 2,0,0,0,0,0,0,0,0,0,1,0,1
Bridgeport 284,25,18,13,17,9,17,23,43,22,38,30,29
Bridgewater 2,0,1,0,0,0,0,0,0,0,0,0,1
Bristol 133,9,8,9,7,12,8,13,17,11,11,12,16
Brookfield 22,3,0,2,0,0,3,1,5,2,1,1,4
Brooklyn 22,1,2,6,1,0,1,1,3,2,3,2,0
Burlington 4,2,1,0,0,0,0,0,0,0,0,1,0
Canaan 0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury 6,0,0,1,0,1,0,0,0,3,0,1,0
Canton 1,0,0,0,1,0,0,0,0,0,0,0,0
Chaplin 0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire 20,4,0,1,1,1,1,1,1,0,2,6,2
Chester 0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton 2,2,0,0,0,0,0,0,0,0,0,0,0
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Colchester 2,0,0,0,1,0,0,0,1,0,0,0,0
Colebrook 0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia 4,0,0,0,0,2,0,1,0,0,0,0,1
Cornwall 0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry 32,4,2,6,0,1,1,2,1,6,1,2,6
Cromwell 22,2,1,3,0,6,2,1,1,0,5,1,0
Danbury 104,5,7,7,6,6,11,8,17,9,11,5,12
Darien 1,0,0,0,0,0,0,0,0,0,0,1,0
Deep River 1,0,0,0,0,0,0,0,0,0,0,0,1
Derby 21,1,0,0,0,1,2,5,4,3,1,3,1
Durham 0,0,0,0,0,0,0,0,0,0,0,0,0
East Granby 0,0,0,0,0,0,0,0,0,0,0,0,0
East Haddam 13,0,4,0,0,0,1,1,0,2,3,2,0
East Hampton 1,0,0,0,0,0,0,0,0,0,0,0,1
East Hartford 135,5,10,11,8,17,10,9,21,16,9,8,11
East Haven 63,3,0,6,5,0,2,6,9,13,8,5,6
East Lyme 4,1,1,0,0,0,0,0,0,2,0,0,0
East Windsor 16,1,1,0,1,2,1,6,0,1,1,1,1
Eastford 5,0,1,0,1,1,1,0,1,0,0,0,0
Easton 0,0,0,0,0,0,0,0,0,0,0,0,0
Ellington 1,0,0,0,0,0,0,0,0,0,1,0,0
Enfield 61,6,7,5,7,6,5,6,6,1,8,3,1
Essex 0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield 21,2,0,1,0,1,2,1,1,4,4,3,2
Farmington 2,0,0,0,0,0,0,0,0,1,0,0,1
Franklin 3,0,0,0,0,0,0,0,0,1,0,1,1
Glastonbury 32,0,4,1,1,5,8,1,2,3,2,2,3
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Goshen 4,1,1,0,0,0,0,0,0,1,0,1,0
Granby 9,1,0,0,2,0,1,0,2,0,1,1,1
Greenwich 7,1,1,2,1,1,1,0,0,0,0,0,0
Griswold 2,0,0,0,0,0,0,0,1,0,0,0,1
Groton 4,2,0,1,0,0,0,0,0,1,0,0,0
Guilford 18,0,0,2,1,0,1,0,0,3,6,3,2
Haddam 11,1,1,0,0,0,0,1,2,2,2,1,1
Hamden 64,3,0,8,0,0,6,7,10,11,9,5,5
Hampton 4,0,0,0,1,0,0,0,1,1,0,1,0
Hartford 193,12,13,16,20,18,12,10,24,21,18,11,18
Hartland 0,0,0,0,0,0,0,0,0,0,0,0,0
Harwinton 5,0,1,0,2,0,0,1,0,0,0,0,1
Hebron 8,1,0,0,1,0,2,1,1,0,0,0,2
Kent 0,0,0,0,0,0,0,0,0,0,0,0,0
Killingly 75,4,8,5,8,8,2,3,15,9,3,4,6
Killingworth 2,0,0,0,0,0,0,0,1,1,0,0,0
Lebanon 5,0,1,0,0,1,0,0,0,0,1,1,1
Ledyard 22,0,2,2,2,1,1,4,0,3,0,4,3
Lisbon 7,3,0,0,0,1,1,0,0,1,0,1,0
Litchfield 2,0,1,0,0,1,0,0,0,0,0,0,0
Lyme 0,0,0,0,0,0,0,0,0,0,0,0,0
Madison 12,1,0,0,0,0,5,0,2,2,0,0,2
Manchester 118,7,9,15,5,12,11,11,11,9,6,11,11
Mansfield 13,1,0,1,0,1,2,2,1,1,2,0,2
Marlborough 6,1,1,0,0,1,0,0,1,1,0,1,0
Meriden 148,5,4,10,8,1,5,13,20,28,31,9,14
Middlebury 14,1,1,0,0,1,1,1,3,1,3,0,2
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Middlefield 3,0,0,1,0,0,1,0,1,0,0,0,0
Middletown 1,0,0,0,0,0,1,0,0,0,0,0,0
Milford 0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe 14,1,0,1,0,0,1,1,1,4,2,0,3
Montville 2,0,0,2,0,0,0,0,0,0,0,0,0
Morris 1,1,0,0,0,0,0,0,0,0,0,0,0
Naugatuck 63,7,0,5,3,4,6,7,3,8,5,10,5
New Britain 173,10,7,21,15,6,21,8,28,18,7,14,18
New Canaan 6,0,1,0,1,0,0,1,1,1,0,1,0
New Fairfield 17,1,3,2,1,0,1,3,1,1,2,1,1
New Hartford 4,0,0,0,0,2,0,0,0,0,1,0,1
New Haven 183,12,9,13,14,5,19,9,19,21,24,25,13
New London 37,2,2,1,4,1,5,1,4,3,3,8,3
New Milford 54,2,4,5,3,7,5,3,7,2,5,5,6
Newington 3,0,0,0,0,0,0,0,0,0,2,0,1
Newtown 7,0,0,0,0,1,0,0,1,1,2,2,0
Norfolk 2,0,1,0,0,0,0,0,0,0,0,0,1
North Branford 2,0,0,0,0,1,0,0,0,0,0,0,1
North Canaan 8,0,1,2,1,0,1,0,0,0,0,0,3
North Haven 16,2,0,3,0,0,2,1,2,0,0,2,4
North Stonington 10,1,0,0,1,0,1,0,2,2,2,0,1
Norwalk 61,3,2,6,8,0,5,6,9,6,8,4,4
Norwich 104,1,4,9,3,5,15,12,10,14,4,15,12
Old Lyme 1,0,0,1,0,0,0,0,0,0,0,0,0
Old Saybrook 1,0,1,0,0,0,0,0,0,0,0,0,0
Orange 6,0,0,0,0,0,0,0,1,3,1,0,1
Oxford 1,1,0,0,0,0,0,0,0,0,0,0,0
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Plainfield 54,2,4,9,2,3,4,2,11,4,0,8,5
Plainville 3,0,0,0,0,0,0,1,0,0,1,1,0
Plymouth 23,0,2,4,1,1,4,1,0,4,1,5,0
Pomfret 4,2,0,1,1,0,0,0,0,0,0,0,0
Portland 12,0,0,1,1,2,0,0,2,2,2,1,1
Preston 9,1,0,0,2,0,0,0,1,2,1,0,2
Prospect 9,1,0,2,1,0,1,1,0,2,0,1,0
Putnam 29,2,1,3,7,0,2,2,6,0,4,1,1
Redding 7,1,0,1,1,0,1,1,1,0,0,1,0
Ridgefield 12,1,0,0,1,0,1,0,1,2,3,2,1
Rocky Hill 11,2,4,1,1,0,0,0,0,2,0,0,1
Roxbury 2,1,0,0,0,1,0,0,0,0,0,0,0
Salem 0,0,0,0,0,0,0,0,0,0,0,0,0
Salisbury 4,0,0,0,0,0,2,0,0,0,2,0,0
Scotland 4,0,0,0,1,0,0,0,0,1,0,1,1
Seymour 26,1,3,2,0,0,5,1,2,2,4,4,2
Sharon 0,0,0,0,0,0,0,0,0,0,0,0,0
Shelton 37,1,1,2,1,1,4,3,3,5,5,3,8
Sherman 1,0,0,1,0,0,0,0,0,0,0,0,0
Simsbury 18,0,1,1,1,2,2,4,4,0,1,1,1
Somers 8,1,1,0,1,1,0,0,0,1,2,0,1
South Windsor 1,0,0,0,0,0,1,0,0,0,0,0,0
Southbury 30,3,2,2,5,3,2,1,4,2,4,2,0
Southington 19,2,2,9,0,1,0,0,0,0,1,1,3
Sprague 5,0,0,0,1,0,1,3,0,0,0,0,0
Stafford 24,4,1,1,1,4,2,1,6,0,2,1,1
Stamford 0,0,0,0,0,0,0,0,0,0,0,0,0
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Sterling 11,1,0,2,2,0,0,1,1,1,1,2,0
Stonington 1,0,0,0,0,0,0,0,0,0,0,0,1
Stratford 6,0,0,1,0,0,0,0,0,0,0,1,4
Suffield 10,1,1,0,0,0,1,1,1,2,0,3,0
Thomaston 18,2,1,1,0,4,2,0,0,2,1,1,4
Thompson 21,0,2,1,2,1,0,1,4,4,2,1,3
Tolland 15,2,0,2,1,1,1,1,3,1,0,1,2
Torrington 117,11,9,16,11,6,3,5,12,7,15,13,9
Trumbull 20,0,4,0,0,2,2,1,0,1,4,3,3
Union 1,0,0,0,0,0,0,0,0,0,1,0,0
Vernon 42,2,3,2,3,2,4,3,6,4,5,2,6
Voluntown 4,0,0,0,0,0,0,0,0,2,0,2,0
Wallingford 70,7,5,3,2,2,6,6,9,5,13,9,3
Warren 1,0,0,0,0,0,0,0,1,0,0,0,0
Washington 7,0,1,0,0,1,0,2,0,0,3,0,0
Waterbury 396,23,16,26,16,3,39,55,39,19,76,45,39
Waterford 19,0,0,1,0,1,2,4,1,2,1,5,2
Watertown 33,4,2,4,3,0,1,5,4,1,2,2,5
West Hartford 6,0,0,1,1,0,0,0,0,2,1,0,1
West Haven 94,5,1,5,9,4,6,13,8,6,12,20,5
Westbrook 2,0,0,0,0,0,0,0,0,0,0,2,0
Weston 7,1,0,1,0,0,0,1,1,2,1,0,0
Westport 1,0,0,0,0,0,0,0,0,1,0,0,0
Wethersfield 25,1,1,3,0,3,5,4,3,0,2,3,0
Willington 9,1,1,1,0,0,2,2,0,0,0,1,1
Wilton 7,0,0,1,1,1,1,0,1,1,0,1,0
Winchester 0,0,0,0,0,0,0,0,0,0,0,0,0
2013 Municipality totals,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sept,Oct,Nov,Dec
Windham 41,0,1,1,6,1,7,3,9,2,3,6,2
Windsor 51,7,6,4,3,2,7,8,2,4,1,4,3
Windsor Locks 22,2,1,4,2,4,2,1,0,0,3,2,1
Wolcott 3,0,0,0,0,0,1,0,0,0,1,0,1
Woodbridge 3,0,0,0,1,1,0,0,1,0,0,0,0
Woodbury 13,1,1,0,0,2,0,1,3,2,2,1,0
Woodstock 18,2,1,1,0,1,1,3,1,3,4,0,1
"Monthly Totals 4,169",276,240,341,262,220,350,340,485,403,458,402,392
