Lis Penden Filings,,,,,,,,,,,,,,Connecticut
2012,,,,,,,,,,,,,,Sorted by Municipality
"",,,,Total,,,,Total,,,,Total,,Total
Morris 8,0,3,3,6,0,0,0,0,0,0,0,0,1,0 1 2
Naugatuck 245,11,17,24,52,16,20,26,62,13,25,16,54,22,34 21 77
New Britain 434,15,40,45,100,13,26,39,78,47,45,49,141,37,20 58 115
New Canaan 40,1,2,3,6,3,7,6,16,6,0,4,10,4,2 2 8
New Fairfield 54,6,3,9,18,5,3,5,13,5,6,2,13,1,3 6 10
New Hartford 11,1,3,1,5,2,2,0,4,0,0,0,0,0,2 0 2
New Haven 920,67,71,71,209,58,87,120,265,104,113,68,285,51,69 41 161
New London 133,5,12,15,32,6,4,8,18,15,12,9,36,5,33 9 47
New Milford 168,11,20,22,53,6,6,18,30,15,16,21,52,8,15 10 33
Newington 27,2,1,1,4,1,1,2,4,3,5,3,11,2,5 1 8
Newtown 142,13,20,15,48,8,9,19,36,9,8,11,28,12,8 10 30
Norfolk 9,0,1,0,1,0,1,1,2,0,0,0,0,1,3 2 6
North Branford 46,5,5,6,16,3,0,7,10,0,4,4,8,1,9 2 12
North Canaan 13,0,1,0,1,0,1,3,4,1,0,1,2,2,1 3 6
North Haven 84,8,5,4,17,3,3,8,14,10,16,3,29,9,9 6 24
North Stonington 27,2,1,5,8,1,1,1,3,1,2,6,9,1,2 4 7
Norwalk 386,42,24,40,106,6,22,37,65,51,25,61,137,27,32 19 78
Norwich 334,22,33,23,78,17,22,25,64,30,57,23,110,28,32 22 82
Old Lyme 24,3,1,5,9,1,1,1,3,0,5,0,5,2,1 4 7
Old Saybrook 40,4,7,4,15,1,0,2,3,3,3,9,15,2,3 2 7
Orange 50,4,4,4,12,3,5,1,9,3,8,7,18,1,7 3 11
Oxford 43,0,1,9,10,1,0,2,3,7,4,9,20,7,1 2 10
Plainfield 119,11,8,18,37,8,9,6,23,6,19,7,32,8,10 9 27
Plainville 103,6,10,12,28,7,5,13,25,11,10,10,31,4,8 7 19
Plymouth 85,7,3,10,20,4,2,9,15,12,10,6,28,8,11 3 22
Lis Penden Filings,,,,,,,,,,,,,,Connecticut
2012,,,,,,,,,,,,,,Sorted by Municipality
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Pomfret 10,0,0,0,0,0,3,0,3,1,2,1,4,1,1 1 3
Portland 26,3,5,1,9,0,0,2,2,1,1,10,12,2,1 0 3
Preston 30,3,0,4,7,2,0,5,7,4,3,2,9,1,3 3 7
Prospect 24,1,2,4,7,0,0,1,1,4,0,3,7,4,3 2 9
Putnam 72,7,5,12,24,1,7,8,16,1,8,9,18,8,4 2 14
Redding 31,0,2,0,2,1,2,1,4,10,4,3,17,3,5 0 8
Ridgefield 70,8,5,10,23,4,3,4,11,7,8,3,18,4,9 5 18
Rocky Hill 55,2,8,2,12,2,3,5,10,4,4,7,15,3,8 7 18
Roxbury 13,1,2,1,4,1,1,1,3,0,2,3,5,0,1 0 1
Salem 22,2,0,2,4,0,0,4,4,2,3,3,8,2,3 1 6
Salisbury 14,0,1,0,1,1,0,0,1,1,4,0,5,2,2 3 7
Scotland 15,1,1,2,4,0,4,0,4,0,2,2,4,0,2 1 3
Seymour 87,8,6,9,23,4,6,8,18,7,5,15,27,5,5 9 19
Sharon 13,1,0,0,1,2,1,1,4,1,1,3,5,1,1 1 3
Shelton 154,9,7,28,44,5,8,14,27,14,20,17,51,10,14 8 32
Sherman 15,1,1,1,3,0,0,1,1,1,1,2,4,1,2 4 7
Simsbury 74,8,7,8,23,1,3,6,10,9,6,13,28,8,5 0 13
Somers 17,0,7,1,8,0,1,3,4,1,1,0,2,1,0 2 3
South Windsor 94,2,10,8,20,5,5,11,21,10,15,11,36,7,6 4 17
Southbury 79,6,6,4,16,4,5,10,19,7,7,6,20,9,10 5 24
Southington 139,13,13,12,38,7,5,17,29,16,12,14,42,11,10 9 30
Sprague 19,0,2,0,2,0,2,3,5,0,4,0,4,2,2 4 8
Stafford 64,1,7,1,9,6,5,5,16,15,8,8,31,2,4 2 8
Stamford 532,31,44,53,128,16,28,49,93,45,78,54,177,30,70 34 134
Sterling 29,4,2,2,8,1,1,3,5,2,0,2,4,6,3 3 12
Stonington 12,1,0,1,2,1,1,0,2,1,3,3,7,0,1 0 1
Stratford 420,33,38,48,119,24,31,45,100,33,47,33,113,30,36 22 88
Suffield 41,3,12,3,18,2,0,3,5,4,3,2,9,3,1 5 9
Thomaston 43,6,5,2,13,3,2,5,10,8,2,2,12,1,4 3 8
Thompson 51,1,8,4,13,2,4,6,12,5,0,10,15,1,4 6 11
Tolland 41,1,0,6,7,3,4,5,12,5,3,6,14,2,3 3 8
Torrington 281,22,33,24,79,17,29,16,62,31,32,25,88,12,23 17 52
Trumbull 112,0,17,4,21,4,15,9,28,9,17,12,38,10,8 7 25
Union 1,0,0,0,0,0,1,0,1,0,0,0,0,0,0 0 0
Vernon 128,11,12,12,35,8,10,14,32,13,12,14,39,11,7 4 22
Voluntown 13,0,1,2,3,0,0,0,0,2,1,1,4,2,2 2 6
Wallingford 196,5,20,15,40,11,12,16,39,19,34,26,79,9,16 13 38
Lis Penden Filings,,,,,,,,,,,,,,Connecticut
2012,,,,,,,,,,,,,,Sorted by Municipality
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Warren 5,0,0,0,0,0,0,1,1,2,1,1,4,0,0 0 0
Washington 17,1,2,3,6,0,0,0,0,2,2,1,5,3,1 2 6
Waterbury 885,25,92,88,205,31,86,114,231,67,55,108,230,75,68 76 219
Waterford 90,4,9,5,18,3,5,14,22,5,8,9,22,5,10 13 28
Watertown 97,3,10,6,19,8,8,3,19,4,21,8,33,7,14 5 26
West Hartford 153,9,10,11,30,6,7,17,30,14,19,24,57,8,17 11 36
West Haven 438,27,28,54,109,14,37,35,86,58,55,34,147,33,33 30 96
Westbrook 27,0,2,1,3,0,3,3,6,4,2,2,8,2,5 3 10
Weston 47,2,0,12,14,0,0,10,10,3,3,6,12,4,6 1 11
Westport 109,5,8,4,17,5,3,8,16,6,29,12,47,6,15 8 29
Wethersfield 86,6,7,3,16,3,7,8,18,8,3,12,23,4,18 7 29
Willington 11,2,0,0,2,2,0,1,3,0,4,0,4,0,2 0 2
Wilton 41,3,11,3,17,1,5,3,9,2,1,4,7,2,5 1 8
Winchester 60,2,4,2,8,7,10,4,21,8,4,5,17,5,2 7 14
Windham 91,9,5,7,21,3,8,10,21,12,12,6,30,1,11 7 19
Windsor 142,17,12,12,41,11,5,15,31,10,14,10,34,9,19 8 36
Windsor Locks 73,5,7,12,24,6,3,5,14,5,4,7,16,3,11 5 19
Wolcott 61,3,3,4,10,7,2,8,17,5,7,9,21,3,5 5 13
Woodbridge 33,1,2,3,6,0,4,5,9,0,8,1,9,2,4 3 9
Woodbury 48,4,7,3,14,3,1,7,11,3,5,5,13,1,6 3 10
Woodstock 31,0,4,2,6,3,4,3,10,2,3,4,9,1,1 4 6
"Totals 18,526","1,157","1,652","1,693","4,502",994,"1,305","1,814","4,113","1,724","2,006","1,840","5,570","1,206","1,790 1,345 4,341"
Connecticut,,,,,,,,,,,,Sorted by County
Lis Penden Filings,,,,,,,,,,,,
2012,,,,,,,,,,,,
"",,,,,,Month,,,,,,
"",,,,,,,,,,,,County
County,January,February,March,April,May,June,July,August,September,October,November,December
"",,,,,,,,,,,,Totals
Fairfield,336,441,475,276,403,502,484,582,475,296,478,"339 5,087"
Hartford,246,339,344,233,213,358,314,405,426,260,366,"316 3,820"
Litchfield,65,103,91,57,71,73,96,114,92,60,97,64 983
Middlesex,47,92,64,47,45,74,86,79,103,46,75,45 803
New Haven,314,465,492,254,383,574,525,537,498,374,499,"388 5,303"
New London,73,102,111,74,84,127,105,168,123,88,176,"110 1,341"
Tolland,25,53,50,27,43,51,62,44,50,40,36,25 506
Windham,51,57,66,26,63,55,52,77,73,42,63,58 683
Totals,"1,157","1,652","1,693",994,"1,305","1,814","1,724","2,006","1,840","1,206","1,790","1,345 18,526"
Connecticut,,,,,,,,,,,,,,Sorted by Municipality
Foreclosure Deed Filings,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Andover 2,0,0,0,0,0,0,1,1,0,0,0,0,0,1 0 1
Ansonia 26,2,2,1,5,3,2,5,10,1,1,1,3,5,2 1 8
Ashford 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Avon 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Barkhamsted 1,0,0,0,0,1,0,0,1,0,0,0,0,0,0 0 0
Beacon Falls 15,0,0,0,0,0,1,3,4,1,1,2,4,1,4 2 7
Berlin 13,0,2,4,6,0,1,0,1,0,1,2,3,1,2 0 3
Bethany 5,0,1,0,1,1,0,1,2,0,0,0,0,0,1 1 2
Bethel 23,2,0,3,5,2,3,1,6,2,3,2,7,2,1 2 5
Bethlehem 7,1,0,1,2,0,0,0,0,2,0,3,5,0,0 0 0
Bloomfield 35,4,2,1,7,2,2,4,8,5,2,4,11,1,3 5 9
Bolton 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Bozrah 2,1,0,0,1,0,0,0,0,1,0,0,1,0,0 0 0
Branford 6,0,0,5,5,0,1,0,1,0,0,0,0,0,0 0 0
Bridgeport 259,16,11,19,46,36,27,21,84,13,24,24,61,14,34 20 68
Bridgewater 2,0,0,0,0,0,0,0,0,0,2,0,2,0,0 0 0
Bristol 107,5,4,13,22,9,9,10,28,4,17,8,29,10,8 10 28
Brookfield 31,3,0,3,6,0,5,3,8,2,3,0,5,3,4 5 12
Brooklyn 13,0,1,2,3,0,2,1,3,0,3,1,4,2,1 0 3
Burlington 9,2,2,0,4,0,1,0,1,0,1,0,1,0,3 0 3
Canaan 3,1,0,0,1,0,0,0,0,0,0,2,2,0,0 0 0
Canterbury 2,0,0,0,0,0,0,0,0,0,1,0,1,0,1 0 1
Canton 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Chaplin 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Cheshire 17,1,2,1,4,1,4,1,6,0,2,1,3,1,2 1 4
Chester 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Clinton 9,0,0,1,1,0,1,2,3,0,1,0,1,3,1 0 4
Colchester 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 0 1
Colebrook 1,0,1,0,1,0,0,0,0,0,0,0,0,0,0 0 0
Columbia 2,1,0,0,1,0,0,0,0,0,0,0,0,0,0 1 1
Cornwall 3,0,0,0,0,0,0,0,0,0,1,1,2,0,0 1 1
Coventry 12,2,0,1,3,1,0,2,3,1,0,0,1,1,1 3 5
Cromwell 27,0,2,3,5,3,1,4,8,1,3,3,7,1,5 1 7
Danbury 77,7,6,4,17,10,8,5,23,6,5,8,19,4,11 3 18
Darien 3,0,0,2,2,1,0,0,1,0,0,0,0,0,0 0 0
Deep River 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Derby 12,1,1,0,2,0,1,1,2,0,2,1,3,0,5 0 5
Connecticut,,,,,,,,,,,,,,Sorted by Municipality
Foreclosure Deed Filings,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Durham 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
East Granby 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
East Haddam 7,0,0,0,0,0,1,0,1,0,1,1,2,1,1 2 4
East Hampton 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
East Hartford 95,11,3,9,23,7,8,9,24,1,1,15,17,12,14 5 31
East Haven 47,2,3,3,8,2,5,8,15,5,3,3,11,6,4 3 13
East Lyme 9,2,0,0,2,1,1,1,3,0,1,0,1,1,2 0 3
East Windsor 11,0,0,1,1,2,0,2,4,0,0,2,2,3,1 0 4
Eastford 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Easton 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Ellington 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Enfield 47,3,0,1,4,4,3,5,12,2,9,2,13,2,13 3 18
Essex 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Fairfield 23,2,0,2,4,4,2,3,9,2,0,1,3,0,4 3 7
Farmington 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Franklin 2,0,0,0,0,0,0,0,0,1,0,1,2,0,0 0 0
Glastonbury 15,0,0,1,1,0,2,3,5,0,1,1,2,3,1 3 7
Goshen 4,0,0,0,0,0,0,0,0,1,0,1,2,1,0 1 2
Granby 12,1,2,3,6,0,0,2,2,0,0,1,1,2,1 0 3
Greenwich 10,0,0,0,0,0,0,0,0,1,2,1,4,1,2 3 6
Griswold 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Groton 28,6,0,0,6,2,1,3,6,2,3,1,6,2,5 3 10
Guilford 20,2,0,4,6,2,3,0,5,0,0,3,3,3,2 1 6
Haddam 4,0,1,0,1,0,1,1,2,0,1,0,1,0,0 0 0
Hamden 68,8,5,7,20,3,6,8,17,4,4,4,12,7,8 4 19
Hampton 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 0 1
Hartford 115,8,10,14,32,9,2,19,30,8,7,14,29,8,13 3 24
Hartland 2,0,0,0,0,0,0,0,0,0,0,0,0,2,0 0 2
Harwinton 4,1,0,0,1,0,1,0,1,0,0,0,0,0,0 2 2
Hebron 8,0,1,0,1,0,2,0,2,0,2,1,3,1,1 0 2
Kent 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 0 1
Killingly 22,1,1,2,4,3,1,4,8,1,1,0,2,3,2 3 8
Killingworth 7,1,0,1,2,1,1,0,2,1,0,1,2,1,0 0 1
Lebanon 8,0,0,0,0,0,2,1,3,1,3,0,4,0,1 0 1
Ledyard 16,0,1,0,1,3,1,1,5,1,1,1,3,0,6 1 7
Lisbon 7,0,0,0,0,0,0,1,1,2,0,1,3,0,1 2 3
Litchfield 10,0,0,0,0,2,0,0,2,2,2,1,5,0,2 1 3
Connecticut,,,,,,,,,,,,,,Sorted by Municipality
Foreclosure Deed Filings,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Lyme 2,0,0,0,0,0,1,1,2,0,0,0,0,0,0 0 0
Madison 11,1,0,5,6,0,1,0,1,1,0,0,1,0,1 2 3
Manchester 79,5,5,5,15,6,7,7,20,6,9,4,19,7,7 11 25
Mansfield 9,2,0,2,4,0,1,0,1,1,1,0,2,1,0 1 2
Marlborough 5,0,0,1,1,0,2,0,2,0,0,0,0,2,0 0 2
Meriden 138,15,8,6,29,7,17,17,41,11,9,14,34,15,9 10 34
Middlebury 7,1,0,2,3,0,0,0,0,1,1,1,3,1,0 0 1
Middlefield 2,0,0,0,0,0,1,0,1,0,0,1,1,0,0 0 0
Middletown 1,0,0,0,0,0,0,0,0,0,1,0,1,0,0 0 0
Milford 4,2,0,0,2,2,0,0,2,0,0,0,0,0,0 0 0
Monroe 12,0,0,0,0,0,3,3,6,1,1,1,3,0,2 1 3
Montville 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0 0 0
Morris 2,0,0,1,1,0,0,0,0,1,0,0,1,0,0 0 0
Naugatuck 76,3,8,12,23,4,4,7,15,2,12,5,19,8,6 5 19
New Britain 138,4,8,12,24,16,11,15,42,7,5,18,30,13,6 23 42
New Canaan 6,0,1,0,1,0,1,0,1,0,0,3,3,0,1 0 1
New Fairfield 16,3,0,1,4,1,0,1,2,1,1,1,3,2,5 0 7
New Hartford 9,1,1,1,3,1,1,0,2,0,0,2,2,0,2 0 2
New Haven 244,27,13,35,75,18,34,29,81,14,12,17,43,21,11 13 45
New London 54,1,4,4,9,3,7,2,12,4,5,6,15,1,13 4 18
New Milford 54,2,2,7,11,6,7,3,16,7,1,4,12,5,5 5 15
Newington 1,1,0,0,1,0,0,0,0,0,0,0,0,0,0 0 0
Newtown 18,1,1,3,5,6,0,1,7,2,0,1,3,2,1 0 3
Norfolk 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0 1
North Branford 10,1,1,0,2,0,1,2,3,1,1,2,4,0,1 0 1
North Canaan 3,0,0,0,0,0,0,0,0,1,1,1,3,0,0 0 0
North Haven 17,1,1,0,2,0,3,1,4,1,0,1,2,4,2 3 9
North Stonington 5,0,2,0,2,0,0,0,0,0,0,0,0,1,1 1 3
Norwalk 55,7,0,5,12,4,4,8,16,1,2,7,10,7,8 2 17
Norwich 110,4,5,10,19,7,8,5,20,9,17,7,33,17,10 11 38
Old Lyme 3,1,1,0,2,1,0,0,1,0,0,0,0,0,0 0 0
Old Saybrook 8,1,0,0,1,2,0,0,2,2,0,0,2,2,1 0 3
Orange 7,0,1,1,2,1,0,1,2,0,2,0,2,0,0 1 1
Oxford 5,0,1,0,1,0,1,0,1,0,1,1,2,1,0 0 1
Plainfield 35,6,0,10,16,2,2,1,5,0,4,3,7,4,1 2 7
Plainville 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0
Plymouth 18,1,2,1,4,0,3,1,4,2,1,3,6,1,1 2 4
Connecticut,,,,,,,,,,,,,,Sorted by Municipality
Foreclosure Deed Filings,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Pomfret 4,2,0,0,2,0,1,1,2,0,0,0,0,0,0 0 0
Portland 9,0,1,0,1,3,0,1,4,0,0,2,2,2,0 0 2
Preston 6,0,1,0,1,0,0,0,0,1,0,3,4,0,0 1 1
Prospect 4,0,1,0,1,0,2,0,2,0,0,1,1,0,0 0 0
Putnam 19,4,1,2,7,0,2,3,5,0,0,1,1,1,3 2 6
Redding 7,0,1,0,1,0,2,2,4,1,0,1,2,0,0 0 0
Ridgefield 14,4,2,0,6,0,0,2,2,1,1,2,4,0,2 0 2
Rocky Hill 19,3,1,1,5,3,0,5,8,0,0,2,2,3,1 0 4
