Lis Penden Filings,,,,,,,,,,,,,,Connecticut
2012,,,,,,,,,,,,,,Sorted by Municipality
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Andover 13,0,1,3,4,0,0,2,2,4,2,0,6,0,0 1 1
Ansonia 115,3,9,22,34,8,5,12,25,16,6,18,40,5,8 3 16
Ashford 13,0,2,1,3,0,1,2,3,0,2,0,2,1,2 2 5
Avon 37,0,4,4,8,2,2,3,7,2,4,7,13,5,3 1 9
Barkhamsted 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 1 1
Beacon Falls 49,0,4,5,9,2,5,7,14,5,4,5,14,0,5 7 12
Berlin 35,4,3,2,9,1,0,5,6,0,8,3,11,0,6 3 9
Bethany 20,0,3,1,4,1,1,1,3,3,5,3,11,0,2 0 2
Bethel 98,8,10,3,21,9,12,5,26,11,8,14,33,6,6 6 18
Bethlehem 13,1,2,1,4,0,0,1,1,2,2,2,6,1,1 0 2
Bloomfield 125,7,5,19,31,5,7,12,24,9,9,20,38,5,16 11 32
Bolton 18,1,2,3,6,1,0,3,4,3,0,0,3,1,2 2 5
Bozrah 11,0,0,1,1,3,0,1,4,0,2,0,2,1,2 1 4
Branford 237,13,36,20,69,13,12,16,41,14,26,10,50,7,34 36 77
"Bridgeport 1,846",91,109,164,364,148,199,219,566,185,211,151,547,87,147 135 369
Bridgewater 6,0,0,2,2,0,1,1,2,0,0,1,1,0,1 0 1
Bristol 348,21,31,26,78,15,34,36,85,33,31,27,91,28,34 32 94
Brookfield 62,1,8,5,14,7,6,3,16,6,10,1,17,2,3 10 15
Brooklyn 38,2,4,4,10,3,4,0,7,4,4,2,10,3,8 0 11
Burlington 21,1,4,4,9,0,2,0,2,0,2,2,4,0,5 1 6
Canaan 5,0,1,0,1,0,1,0,1,0,1,0,1,1,0 1 2
Canterbury 19,2,0,3,5,0,4,1,5,0,3,4,7,0,2 0 2
Canton 48,4,4,1,9,4,2,1,7,3,8,3,14,6,7 5 18
Chaplin 12,1,0,1,2,0,1,1,2,0,2,5,7,0,0 1 1
Cheshire 77,9,4,4,17,5,3,9,17,8,9,9,26,5,9 3 17
Chester 19,2,2,1,5,1,1,2,4,1,1,3,5,1,0 4 5
Clinton 70,3,8,4,15,4,6,8,18,5,4,10,19,4,10 4 18
Colchester 72,6,7,1,14,5,7,6,18,4,10,7,21,8,6 5 19
Colebrook 3,0,0,0,0,0,0,0,0,0,0,1,1,0,1 1 2
Columbia 14,0,1,2,3,0,0,3,3,1,0,0,1,3,2 2 7
Cornwall 1,0,0,0,0,0,0,1,1,0,0,0,0,0,0 0 0
Coventry 73,4,8,4,16,5,10,10,25,5,3,9,17,8,2 5 15
Cromwell 104,1,9,11,21,6,2,11,19,13,9,17,39,12,10 3 25
Danbury 481,51,106,33,190,12,26,34,72,30,45,32,107,36,47 29 112
Darien 25,0,1,3,4,3,1,0,4,3,5,3,11,1,3 2 6
Deep River 27,2,0,5,7,1,1,2,4,3,4,1,8,1,4 3 8
Derby 76,13,10,4,27,2,6,10,18,12,2,2,16,4,9 2 15
Lis Penden Filings,,,,,,,,,,,,,,Connecticut
2012,,,,,,,,,,,,,,Sorted by Municipality
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Durham 21,1,7,1,9,0,1,0,1,3,1,1,5,2,3 1 6
East Granby 33,3,3,1,7,2,2,5,9,1,2,6,9,1,4 3 8
East Haddam 39,2,4,3,9,2,6,3,11,3,4,7,14,0,4 1 5
East Hampton 53,3,7,2,12,4,3,8,15,4,6,7,17,3,6 0 9
East Hartford 327,30,31,14,75,21,23,33,77,17,29,43,89,21,39 26 86
East Haven 296,19,23,20,62,15,10,44,69,32,26,26,84,27,27 27 81
East Lyme 47,1,2,3,6,5,4,5,14,4,5,6,15,3,6 3 12
East Windsor 59,1,2,4,7,3,1,2,6,6,20,9,35,5,1 5 11
Eastford 8,2,0,0,2,0,1,0,1,1,1,1,3,1,1 0 2
Easton 33,4,5,1,10,0,2,1,3,2,1,6,9,1,4 6 11
Ellington 45,2,7,6,15,1,5,3,9,2,4,5,11,4,5 1 10
Enfield 187,22,17,9,48,19,11,15,45,9,24,22,55,11,15 13 39
Essex 29,2,2,3,7,1,0,3,4,3,8,3,14,1,2 1 4
Fairfield 203,22,10,25,57,11,16,19,46,12,20,22,54,11,26 9 46
Farmington 70,1,7,6,14,1,1,5,7,14,8,9,31,3,12 3 18
Franklin 6,0,0,1,1,1,1,1,3,0,0,0,0,1,0 1 2
Glastonbury 112,7,10,10,27,4,8,9,21,10,10,10,30,13,12 9 34
Goshen 7,0,0,0,0,0,1,0,1,1,2,0,3,1,1 1 3
Granby 31,0,1,2,3,0,3,4,7,0,5,6,11,2,2 6 10
Greenwich 78,1,3,1,5,0,0,1,1,24,15,9,48,1,13 10 24
Griswold 95,5,8,12,25,3,12,9,24,10,4,6,20,11,9 6 26
Groton 146,7,9,9,25,9,6,14,29,9,15,13,37,4,32 19 55
Guilford 73,4,4,9,17,3,1,7,11,12,6,8,26,5,7 7 19
Haddam 38,4,6,1,11,4,2,4,10,0,8,6,14,0,1 2 3
Hamden 342,27,32,32,91,20,23,24,67,30,34,23,87,28,33 36 97
Hampton 14,1,3,1,5,1,1,0,2,1,0,2,3,0,1 3 4
Hartford 652,37,42,85,164,69,34,58,161,44,69,72,185,44,50 48 142
Hartland 3,0,1,1,2,0,0,0,0,0,0,0,0,0,0 1 1
Harwinton 16,1,1,6,8,1,1,0,2,0,0,0,0,1,5 0 6
Hebron 43,2,6,7,15,1,5,1,7,7,2,5,14,5,2 0 7
Kent 22,2,1,4,7,1,0,1,2,1,5,4,10,2,1 0 3
Killingly 161,10,15,9,34,4,11,15,30,17,19,18,54,11,13 19 43
Killingworth 33,2,1,2,5,3,1,2,6,12,5,2,19,1,1 1 3
Lebanon 25,2,2,1,5,0,4,1,5,4,1,1,6,2,7 0 9
Ledyard 87,3,6,10,19,5,10,10,25,9,8,12,29,2,10 2 14
Lisbon 27,2,4,1,7,1,0,3,4,1,7,6,14,1,0 1 2
Litchfield 24,2,3,1,6,1,3,0,4,4,4,3,11,2,1 0 3
Lis Penden Filings,,,,,,,,,,,,,,Connecticut
2012,,,,,,,,,,,,,,Sorted by Municipality
"",,,,Total,,,,Total,,,,Total,,Total
Town totals,,,,,,,,,,,,,,
Municipality,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,"
2012,,,,,,,,,,,,,,
"",,,,2012,,,,2012,,,,2012,,2012
Lyme 5,0,0,0,0,0,0,2,2,0,0,0,0,1,1 1 3
Madison 71,5,7,9,21,3,2,2,7,12,9,9,30,4,6 3 13
Manchester 290,17,33,23,73,23,12,26,61,23,35,25,83,16,30 27 73
Mansfield 38,1,2,5,8,0,2,1,3,6,5,3,14,3,7 3 13
Marlborough 21,3,4,4,11,0,1,3,4,2,1,0,3,1,2 0 3
Meriden 478,27,45,36,108,18,34,63,115,46,43,52,141,41,47 26 114
Middlebury 34,5,5,0,10,1,1,3,5,5,4,3,12,3,2 2 7
Middlefield 10,0,1,1,2,1,3,0,4,0,0,1,1,0,2 1 3
Middletown 267,18,31,24,73,19,16,24,59,31,23,24,78,15,23 19 57
Milford 244,18,21,31,70,8,13,15,36,26,22,21,69,14,37 18 69
Monroe 108,4,7,10,21,4,5,9,18,10,20,13,43,7,14 5 26
Montville 116,5,5,10,20,11,4,14,29,4,18,16,38,6,14 9 29
