2009 Lis Penden Filings,,,,,,,,,,,,,,,,,,Connecticut
Town,January,February,March,Qtr 1,April,May,June,Qtr 2,July,August,September,Qtr 3,October,November,December,Qtr 4,Total 4 qtrs,
Enfield,15,21,18,54,23,24,24,71,10,22,18,50,19,21,29,69,244,
Essex,,5,3,8,5,4,4,13,3,5,1,9,5,7,2,14,44,
Fairfield,12,36,26,74,25,38,22,85,27,23,15,65,20,27,22,69,293,
Farmington,3,16,11,30,5,11,7,23,9,6,10,25,5,12,2,19,97,
Franklin,,1,1,2,3,,,3,1,,4,5,1,3,2,6,16,
Glastonbury,10,14,14,38,13,20,6,39,6,17,14,37,11,8,16,35,149,
Goshen,1,1,1,3,2,,2,4,3,2,2,7,1,2,2,5,19,
Granby,1,5,3,9,4,2,4,10,2,2,3,7,2,3,6,11,37,
Greenwich,12,20,16,48,15,28,13,56,20,26,13,59,9,21,30,60,223,
Griswold,5,10,9,24,7,4,7,18,5,9,8,22,15,19,12,46,110,
Groton,10,16,13,39,13,10,15,38,27,14,14,55,10,13,10,33,165,
Guilford,6,14,13,33,17,9,18,44,6,11,11,28,10,6,12,28,133,
Haddam,12,3,5,20,6,3,3,12,,5,5,10,3,7,2,12,54,
Hamden,29,45,44,118,40,46,49,135,40,56,37,133,42,52,39,133,519,
Hampton,,,2,2,1,1,1,3,,,,0,1,,,1,6,
Hartford,53,65,67,185,54,63,53,170,53,71,51,175,63,59,57,179,709,
Hartland,,1,,1,3,,,3,,,2,2,,,,0,6,
Harwinton,1,,3,4,3,2,2,7,1,3,2,6,1,3,,4,21,
Hebron,5,3,8,16,6,2,2,10,4,3,3,10,,1,2,3,39,
Kent,1,,4,5,2,3,,5,3,3,4,10,4,2,4,10,30,
Killingly,18,19,20,57,13,17,6,36,12,13,19,44,17,14,11,42,179,
Killingworth,,1,3,4,5,3,3,11,1,4,5,10,2,2,2,6,31,
Lebanon,1,7,6,14,,4,4,8,5,5,1,11,1,4,2,7,40,
Ledyard,5,11,7,23,7,12,15,34,14,3,9,26,9,9,22,40,123,
Lisbon,1,3,5,9,3,,,3,2,2,1,5,2,1,4,7,24,
Litchfield,2,1,1,4,3,2,4,9,4,1,2,7,1,1,4,6,26,
Lyme,1,,2,3,,,,0,2,,,2,,1,1,2,7,
Madison,4,6,6,16,4,7,3,14,6,5,7,18,1,5,10,16,64,
Manchester,21,33,46,100,23,29,28,80,30,34,21,85,17,38,30,85,350,
Mansfield,5,5,3,13,1,6,2,9,2,6,3,11,5,10,8,23,56,
Marlborough,2,2,3,7,3,,2,5,3,3,1,7,,3,1,4,23,
Meriden,60,61,82,203,55,68,54,177,59,80,50,189,57,64,71,192,761,
Middlebury,1,2,2,5,4,3,,7,1,3,3,7,6,2,1,9,28,
Middlefield,2,,,2,4,1,1,6,2,,,2,2,1,,3,13,
Middletown,17,27,26,70,26,25,25,76,21,27,32,80,16,26,39,81,307,
Milford,24,24,34,82,22,35,22,79,27,35,25,87,17,27,25,69,317,
Monroe,10,5,8,23,7,13,6,26,7,10,8,25,14,7,11,32,106,
Montville,13,11,16,40,8,8,7,23,21,15,4,40,10,8,16,34,137,
Morris,,,1,1,1,2,3,6,1,1,,2,1,,1,2,11,
Naugatuck,20,20,33,73,32,37,31,100,26,34,23,83,34,26,15,75,331,
2009 Lis Penden Filings,,,,,,,,,,,,,,,,,,Connecticut
Town,January,February,March,Qtr 1,April,May,June,Qtr 2,July,August,September,Qtr 3,October,November,December,Qtr 4,Total 4 qtrs,
New Britain,40,45,61,146,45,51,48,144,49,62,30,141,46,41,47,134,565,
New Canaan,3,2,10,15,3,8,4,15,7,14,4,25,5,7,7,19,74,
New Fairfield,2,3,7,12,10,9,6,25,6,6,5,17,12,7,7,26,80,
New Hartford,4,3,3,10,1,3,2,6,1,4,1,6,1,5,1,7,29,
New Haven,91,87,97,275,99,120,90,309,102,77,71,250,71,114,106,291,1125,
New London,16,17,16,49,13,14,13,40,28,22,15,65,20,16,25,61,215,
New Milford,20,21,29,70,30,42,27,99,18,24,22,64,20,26,36,82,315,
Newington,10,15,6,31,13,13,15,41,13,13,11,37,6,15,13,34,143,
Newtown,9,4,16,29,9,18,14,41,13,18,14,45,9,15,9,33,148,
Norfolk,,2,1,3,,,1,1,2,,,2,,,1,1,7,
North Branford,9,1,9,19,8,9,7,24,6,7,8,21,8,5,10,23,87,
North Canaan,,1,5,6,,,1,1,,1,3,4,1,2,1,4,15,
North Haven,7,11,9,27,11,18,6,35,43,24,14,81,8,9,7,24,167,
North Stonington,5,6,3,14,5,5,4,14,2,1,2,5,2,6,4,12,45,
Norwalk,28,56,62,146,72,78,58,208,66,79,47,192,35,55,51,141,687,
Norwich,17,37,28,82,22,44,20,86,30,22,19,71,16,38,27,81,320,
Old Lyme,,2,4,6,5,6,1,12,,1,,1,4,6,2,12,31,
Old Saybrook,2,1,15,18,3,4,2,9,3,7,5,15,7,11,2,20,62,
Orange,7,4,3,14,8,3,6,17,1,4,3,8,5,2,2,9,48,
Oxford,4,8,6,18,12,10,6,28,12,7,5,24,5,5,2,12,82,
Plainfield,12,19,10,41,11,29,9,49,10,11,8,29,10,12,18,40,159,
Plainville,6,8,9,23,14,9,10,33,8,8,9,25,9,8,5,22,103,
Plymouth,1,12,9,22,7,15,8,30,7,16,2,25,9,16,12,37,114,
Pomfret,,4,1,5,1,2,3,6,1,4,1,6,3,,,3,20,
Portland,3,3,2,8,7,3,4,14,2,4,1,7,5,6,2,13,42,
Preston,1,5,1,7,4,4,1,9,4,1,3,8,3,1,5,9,33,
Prospect,3,6,2,11,5,3,3,11,3,1,3,7,4,3,1,8,37,
Putnam,4,6,6,16,10,5,5,20,3,9,4,16,7,3,19,29,81,
Redding,2,1,3,6,10,3,7,20,1,5,6,12,6,4,6,16,54,
Ridgefield,7,6,11,24,3,12,3,18,6,10,8,24,8,18,6,32,98,
Rocky Hill,3,2,11,16,6,12,6,24,4,9,3,16,2,6,4,12,68,
Roxbury,2,1,,3,1,,1,2,1,4,2,7,,,3,3,15,
Salem,1,1,3,5,3,1,3,7,3,2,3,8,2,2,1,5,25,
Salisbury,1,,3,4,5,3,2,10,,,3,3,,2,1,3,20,
Scotland,,,,0,,1,2,3,1,1,3,5,,,,0,8,
Seymour,9,17,7,33,9,11,8,28,9,7,19,35,10,13,7,30,126,
Sharon,1,2,1,4,2,1,1,4,3,2,2,7,3,,1,4,19,
Shelton,8,17,31,56,16,15,15,46,18,18,24,60,11,27,22,60,222,
Sherman,1,1,,2,3,,1,4,3,,3,6,4,4,,8,20,
Simsbury,3,10,5,18,8,10,5,23,5,7,5,17,5,11,8,24,82,
Somers,,1,1,2,2,3,4,9,2,1,1,4,1,3,3,7,22,
South Windsor,7,18,12,37,9,5,13,27,7,6,9,22,12,11,16,39,125,
Southbury,6,9,8,23,9,12,10,31,8,4,4,16,5,10,11,26,96,
Southington,3,12,17,32,20,14,14,48,12,17,12,41,15,19,5,39,160,
2009 Lis Penden Filings,,,,,,,,,,,,,,,,,,Connecticut
Town,January,February,March,Qtr 1,April,May,June,Qtr 2,July,August,September,Qtr 3,October,November,December,Qtr 4,Total 4 qtrs,
Sprague,,,1,1,1,1,1,3,3,2,1,6,,3,4,7,17,
Stafford,4,5,7,16,4,8,7,19,8,4,5,17,4,9,13,26,78,
Stamford,40,62,60,162,38,80,63,181,58,73,33,164,59,91,73,223,730,
Sterling,7,3,4,14,1,6,7,14,7,1,3,11,5,11,3,19,58,
Stonington,8,6,10,24,8,10,5,23,13,5,5,23,4,14,7,25,95,
Stratford,23,35,51,109,16,58,38,112,32,42,31,105,34,42,47,123,449,
Suffield,7,,4,11,5,8,1,14,3,5,2,10,5,8,5,18,53,
Thomaston,3,4,2,9,4,3,7,14,3,2,7,12,5,3,2,10,45,
Thompson,6,6,13,25,5,8,1,14,7,8,6,21,2,8,12,22,82,
Tolland,2,4,5,11,11,3,4,18,5,4,4,13,4,4,9,17,59,
Torrington,24,32,27,83,17,29,21,67,28,24,22,74,17,27,27,71,295,
Trumbull,18,16,23,57,18,21,21,60,19,35,8,62,22,16,19,57,236,
Union,,,,0,,,,0,,,,0,,,1,1,1,
Vernon,17,10,18,45,13,21,5,39,11,13,14,38,9,14,16,39,161,
Voluntown,1,5,4,10,3,1,2,6,2,2,,4,1,4,,5,25,
Wallingford,12,14,23,49,22,21,15,58,28,19,14,61,26,21,25,72,240,
Warren,,1,,1,1,2,3,6,,,3,3,,,,0,10,
Washington,1,2,1,4,5,4,,9,1,3,,4,,,1,1,18,
Waterbury,80,117,164,361,106,108,83,297,93,105,94,292,101,114,65,280,1230,
Waterford,5,9,14,28,12,10,12,34,14,12,7,33,11,9,13,33,128,
Watertown,6,7,5,18,17,16,5,38,8,8,14,30,8,15,11,34,120,
West Hartford,8,11,13,32,18,20,15,53,13,23,9,45,10,18,20,48,178,
West Haven,49,47,57,153,33,50,39,122,40,42,31,113,41,54,48,143,531,
Westbrook,2,3,4,9,2,4,4,10,5,5,1,11,1,4,5,10,40,
Weston,2,7,8,17,7,6,7,20,7,11,8,26,3,7,10,20,83,
Westport,5,7,6,18,6,11,9,26,12,12,11,35,6,13,13,32,111,
Wethersfield,7,9,10,26,7,10,6,23,8,5,12,25,8,6,13,27,101,
Willington,,2,,2,,4,1,5,1,,4,5,4,2,1,7,19,
Wilton,3,4,7,14,3,5,2,10,8,6,8,22,8,7,11,26,72,
Winchester,2,6,10,18,,10,6,16,5,4,6,15,3,9,7,19,68,
Windham,4,13,7,24,8,7,16,31,15,12,2,29,6,10,13,29,113,
Windsor,19,15,27,61,16,17,17,50,14,20,21,55,8,25,22,55,221,
Windsor Locks,8,7,6,21,8,9,9,26,4,9,7,20,9,7,2,18,85,
Wolcott,10,10,10,30,11,7,5,23,17,9,6,32,9,7,7,23,108,
Woodbridge,3,5,4,12,4,3,3,10,4,3,,7,1,5,1,7,36,
Woodbury,7,8,8,23,10,4,3,17,5,5,5,15,2,4,4,10,65,
Woodstock,7,5,8,20,7,6,4,17,4,1,1,6,4,4,5,13,56,
Grand Total,1650,2099,2347,6096,2013,2385,1918,6316,1981,2260,1762,6003,1696,2242,2191,6129,24544,
,Foreclosure Deeds,,,,,,,,,,,,,,,Connecticut,,
,2009,,,,,,,,,,,,,,,,,
Town,January,February,March,Quarter 1,April,May,June,Quarter 2,July,August,September,Quarter 3,October,November,December,Quarter 4 Total 2009,,
Andover,1,,,1,,1,,1,,1,,1,,1,,1 4,,
Ansonia,,2,4,6,4,1,2,7,6,2,5,13,2,2,2,6 32,,
Ashford,1,1,,2,1,,,1,,1,,1,,1,,1 5,,
Avon,,1,1,2,1,4,,5,3,2,1,6,,,,0 13,,
Barkhamsted,1,,,1,,,,0,,,,0,,,,0 1,,
Beacon Falls,1,,,1,,,,0,1,2,,3,,,1,1 5,,
Berlin,3,,2,5,,2,1,3,2,1,1,4,2,,1,3 15,,
Bethany,,,1,1,1,,,1,1,,1,2,,,,0 4,,
Bethel,2,3,,5,2,,1,3,4,1,1,6,,1,3,4 18,,
Bethlehem,,1,,1,,,,0,,,,0,1,,2,3 4,,
Bloomfield,1,1,6,8,3,3,4,10,2,7,2,11,2,2,3,7 36,,
Bolton,1,,,1,,,2,2,1,1,,2,,,,0 5,,
Bozrah,,,,0,,,,0,,,,0,,,,0 0,,
Branford,3,1,3,7,2,2,5,9,1,1,1,3,5,4,3,12 31,,
Bridgeport,30,33,40,103,47,38,34,119,39,27,59,125,33,37,48,118 465,,
Bridgewater,,,,0,,,,0,,,,0,,,,0 0,,
Bristol,7,1,6,14,6,4,4,14,19,8,7,34,11,8,10,29 91,,
Brookfield,2,1,4,7,,4,3,7,,2,,2,1,,3,4 20,,
Brooklyn,,1,1,2,1,1,,2,,2,,2,6,1,3,10 16,,
Burlington,,,1,1,1,,,1,,3,2,5,1,1,2,4 11,,
Canaan,,,,0,,,,0,,,,0,,,,0 0,,
Canterbury,1,1,2,4,2,1,,3,1,1,,2,1,,,1 10,,
Canton,,,,0,1,1,,2,,,1,1,,,,0 3,,
Chaplin,,,,0,,,,0,,,,0,,,2,2 2,,
Cheshire,,,1,1,2,1,,3,3,2,3,8,1,4,3,8 20,,
Chester,1,1,,2,,,,0,,,,0,,,,0 2,,
Clinton,,,,0,,3,,3,2,2,3,7,3,,,3 13,,
Colchester,,,1,1,2,,1,3,2,1,,3,,1,,1 8,,
Colebrook,,,,0,,,,0,,,,0,1,1,1,3 3,,
Columbia,,,,0,,,,0,,,,0,,,,0 0,,
Cornwall,,,1,1,,,,0,,,,0,,,,0 1,,
Coventry,,2,6,8,1,4,2,7,2,,,2,3,1,1,5 22,,
Cromwell,1,2,,3,2,2,1,5,2,2,4,8,,1,1,2 18,,
Danbury,9,6,8,23,6,8,6,20,3,8,12,23,9,12,13,34 100,,
Darien,,1,,1,,1,1,2,,,1,1,,1,,1 5,,
Deep River,,,,0,,,1,1,,1,1,2,,2,,2 5,,
Derby,2,,1,3,1,,,1,1,1,3,5,,2,,2 11,,
Durham,1,,2,3,1,,,1,,2,,2,1,,,1 7,,
East Granby,1,,,1,1,,,1,,1,,1,1,1,1,3 6,,
East Haddam,1,1,,2,,,1,1,,,1,1,1,1,1,3 7,,
East Hampton,1,,1,2,1,2,1,4,2,1,2,5,2,1,1,4 15,,
East Hartford,8,5,15,28,17,4,6,27,8,15,7,30,12,15,12,39 124,,
East Haven,5,10,7,22,5,6,3,14,9,6,9,24,5,3,11,19 79,,
East Lyme,,,2,2,,3,,3,,,1,1,,2,1,3 9,,
East Windsor,,,1,1,,,1,1,3,,,3,1,,1,2 7,,
,Foreclosure Deeds,,,,,,,,,,,,,,,Connecticut,,
,2009,,,,,,,,,,,,,,,,,
Town,January,February,March,Quarter 1,April,May,June,Quarter 2,July,August,September,Quarter 3,October,November,December,Quarter 4 Total 2009,,
Eastford,,,,0,,,1,1,,,1,1,1,,,1 3,,
Easton,,1,,1,1,,,1,1,1,,2,,1,,1 5,,
Ellington,1,1,1,3,,3,,3,4,,,4,,1,,1 11,,
Enfield,2,3,6,11,5,4,4,13,6,5,5,16,4,10,4,18 58,,
Essex,,,1,1,,1,,1,,,,0,1,1,,2 4,,
Fairfield,2,,5,7,3,,1,4,3,1,2,6,1,5,4,10 27,,
Farmington,,,,0,1,2,2,5,3,1,2,6,2,2,1,5 16,,
Franklin,,1,1,2,,1,1,2,,,1,1,,,,0 5,,
Glastonbury,1,1,1,3,2,1,3,6,2,1,2,5,3,1,,4 18,,
Goshen,,,,0,,,,0,,1,1,2,,,1,1 3,,
Granby,1,,,1,2,1,1,4,,,,0,1,1,2,4 9,,
Greenwich,1,2,4,7,1,,,1,6,2,6,14,1,2,5,8 30,,
Griswold,,2,,2,4,2,2,8,2,,1,3,1,3,1,5 18,,
Groton,2,,2,4,3,2,2,7,5,3,,8,,4,4,8 27,,
Guilford,1,1,,2,1,3,2,6,,2,5,7,3,4,2,9 24,,
Haddam,1,1,1,3,,,4,4,,,,0,1,2,2,5 12,,
Hamden,7,5,16,28,6,4,3,13,5,7,9,21,9,9,6,24 86,,
Hampton,,,,0,,,,0,,,,0,,,1,1 1,,
Hartford,7,13,21,41,20,20,15,55,21,13,21,55,15,27,14,56 207,,
Hartland,,,,0,,,,0,,,1,1,,,,0 1,,
Harwinton,,1,,1,,1,,1,,,,0,,,,0 2,,
Hebron,,1,,1,,1,1,2,2,1,2,5,1,1,,2 10,,
Kent,3,1,,4,,1,,1,1,,1,2,,,1,1 8,,
Killingly,3,4,5,12,3,7,2,12,10,3,3,16,7,4,3,14 54,,
Killingworth,,,,0,,,,0,,,,0,1,,1,2 2,,
Lebanon,,,1,1,,,,0,1,,,1,1,,,1 3,,
Ledyard,2,2,1,5,1,4,1,6,,2,,2,1,5,,6 19,,
Lisbon,,,1,1,,1,,1,2,,,2,3,,,3 7,,
Litchfield,,1,1,2,,1,,1,1,1,,2,2,1,1,4 9,,
Lyme,,,,0,,,1,1,,,,0,,,,0 1,,
Madison,,,2,2,,,1,1,1,,1,2,1,1,,2 7,,
Manchester,2,6,10,18,5,3,8,16,7,7,10,24,4,13,10,27 85,,
Mansfield,1,1,,2,1,,1,2,4,,1,5,,1,,1 10,,
Marlborough,1,,,1,1,,,1,,,1,1,,2,,2 5,,
Meriden,15,8,18,41,21,16,5,42,14,12,13,39,11,18,20,49 171,,
Middlebury,,,1,1,,,1,1,,,1,1,,1,,1 4,,
Middlefield,,1,,1,,,1,1,,,,0,,,,0 2,,
Middletown,2,7,3,12,5,2,2,9,7,8,8,23,4,6,,10 54,,
Milford,3,1,5,9,9,6,4,19,4,8,2,14,3,5,5,13 55,,
Monroe,,1,1,2,1,3,,4,1,3,1,5,1,1,,2 13,,
Montville,4,3,3,10,,3,,3,6,2,3,11,2,3,1,6 30,,
Morris,1,,,1,,,1,1,2,,,2,,1,,1 5,,
Naugatuck,3,6,3,12,8,5,5,18,10,5,10,25,6,10,6,22 77,,
New Britain,9,12,15,36,6,12,6,24,26,25,17,68,15,18,10,43 171,,
New Canaan,,1,,1,1,2,,3,,,,0,1,,,1 5,,
,Foreclosure Deeds,,,,,,,,,,,,,,,Connecticut,,
,2009,,,,,,,,,,,,,,,,,
Town,January,February,March,Quarter 1,April,May,June,Quarter 2,July,August,September,Quarter 3,October,November,December,Quarter 4 Total 2009,,
New Fairfield,,,,0,1,2,,3,1,,1,2,2,2,3,7 12,,
New Hartford,2,,2,4,2,3,,5,,2,1,3,,,1,1 13,,
New Haven,29,21,38,88,30,25,17,72,37,23,28,88,24,24,37,85 333,,
New London,13,7,6,26,7,7,9,23,,9,7,16,4,8,4,16 81,,
New Milford,1,2,5,8,3,2,3,8,7,7,4,18,5,12,11,28 62,,
Newington,3,,1,4,4,1,2,7,3,2,2,7,4,2,7,13 31,,
Newtown,,3,1,4,1,1,,2,4,2,,6,1,3,,4 16,,
Norfolk,,,,0,,1,,1,,,1,1,,,1,1 3,,
North Branford,,2,,2,3,,1,4,,2,2,4,2,2,2,6 16,,
North Canaan,,,,0,,,,0,1,2,1,4,,,2,2 6,,
North Haven,,2,2,4,2,,3,5,3,2,,5,2,3,2,7 21,,
North Stonington,1,2,,3,,1,,1,4,1,,5,2,1,1,4 13,,
Norwalk,7,10,10,27,7,10,4,21,7,7,5,19,12,18,8,38 105,,
Norwich,5,5,8,18,8,10,6,24,9,10,3,22,8,17,10,35 99,,
Old Lyme,,,1,1,,,,0,,1,,1,,,,0 2,,
Old Saybrook,,,,0,,1,,1,1,1,,2,,,,0 3,,
Orange,1,,,1,1,,1,2,,,,0,,,1,1 4,,
Oxford,,,1,1,3,1,,4,1,1,,2,,1,1,2 9,,
Plainfield,3,2,2,7,6,7,1,14,6,2,2,10,11,2,9,22 53,,
Plainville,1,1,1,3,1,1,2,4,,1,3,4,3,4,3,10 21,,
Plymouth,,2,,2,2,,2,4,,4,1,5,,3,,3 14,,
Pomfret,,,1,1,,,1,1,,,,0,1,1,1,3 5,,
Portland,2,1,,3,,,,0,,1,,1,3,1,2,6 10,,
Preston,1,,,1,,,3,3,,,2,2,2,,1,3 9,,
Prospect,,1,1,2,,,1,1,3,,,3,3,,1,4 10,,
Putnam,1,4,,5,2,2,1,5,2,1,3,6,1,1,1,3 19,,
Redding,,,,0,1,,,1,,2,1,3,1,,1,2 6,,
Ridgefield,,,2,2,1,,,1,1,1,,2,,1,3,4 9,,
Rocky Hill,1,,,1,,1,,1,1,1,,2,,2,1,3 7,,
Roxbury,,,1,1,,,,0,,,,0,1,,,1 2,,
Salem,,,,0,,,1,1,1,,,1,,,,0 2,,
Salisbury,,,,0,1,,,1,,,,0,1,,,1 2,,
Scotland,,,1,1,,,,0,,,,0,,,,0 1,,
Seymour,2,2,3,7,1,3,,4,1,3,3,7,2,1,3,6 24,,
Sharon,,,1,1,,,,0,,,,0,,,,0 1,,
Shelton,1,,1,2,3,3,5,11,1,3,2,6,7,,4,11 30,,
Sherman,1,,,1,,,,0,,1,,1,,,,0 2,,
Simsbury,2,,1,3,,,1,1,,2,1,3,1,3,2,6 13,,
Somers,1,1,,2,,,,0,2,2,1,5,,1,,1 8,,
South Windsor,1,3,,4,3,5,,8,,,1,1,,5,,5 18,,
Southbury,2,1,,3,1,2,4,7,,1,4,5,2,3,1,6 21,,
Southington,,1,,1,1,1,,2,2,2,1,5,1,5,5,11 19,,
Sprague,,,,0,,,,0,,,,0,,,,0 0,,
Stafford,1,2,1,4,3,2,2,7,4,2,,6,5,,4,9 26,,
Stamford,,,21,21,3,6,5,14,6,3,7,16,6,6,9,21 72,,
,Foreclosure Deeds,,,,,,,,,,,,,,,Connecticut,,
,2009,,,,,,,,,,,,,,,,,
Town,January,February,March,Quarter 1,April,May,June,Quarter 2,July,August,September,Quarter 3,October,November,December,Quarter 4 Total 2009,,
Sterling,,3,,3,3,2,1,6,8,1,,9,1,,1,2 20,,
Stonington,,2,,2,,,,0,1,1,5,7,4,,1,5 14,,
Stratford,1,4,8,13,1,13,5,19,7,9,7,23,7,6,13,26 81,,
Suffield,,1,3,4,1,,,1,1,1,,2,,1,1,2 9,,
Thomaston,,,1,1,,1,,1,,1,2,3,,1,2,3 8,,
Thompson,1,4,,5,7,2,1,10,1,,2,3,3,1,,4 22,,
Tolland,1,,,1,,,1,1,3,2,1,6,1,2,,3 11,,
Torrington,4,8,7,19,5,4,,9,15,8,2,25,9,8,9,26 79,,
Trumbull,2,1,,3,4,1,2,7,3,2,,5,2,4,,6 21,,
Union,,,,0,,,,0,,,,0,,,,0 0,,
Vernon,,4,5,9,4,4,2,10,2,5,1,8,4,7,3,14 41,,
Voluntown,,1,1,2,,,3,3,2,,,2,,1,1,2 9,,
Wallingford,4,3,2,9,2,4,1,7,2,4,5,11,2,4,3,9 36,,
Warren,,1,,1,,,,0,,,,0,,1,,1 2,,
Washington,1,,,1,2,1,,3,2,,1,3,1,,,1 8,,
Waterbury,29,39,54,122,43,28,37,108,30,40,35,105,58,46,28,132 467,,
Waterford,6,2,2,10,4,,3,7,2,1,2,5,,1,1,2 24,,
Watertown,2,2,,4,1,4,2,7,,2,2,4,2,4,1,7 22,,
West Hartford,1,1,4,6,2,2,3,7,1,2,4,7,3,5,1,9 29,,
West Haven,10,10,12,32,10,7,5,22,6,12,7,25,6,16,19,41 120,,
Westbrook,,1,,1,1,,1,2,,,1,1,2,,,2 6,,
Weston,,,,0,,2,1,3,1,,3,4,,1,,1 8,,
Westport,1,2,,3,2,,,2,3,,,3,,1,1,2 10,,
Wethersfield,2,2,3,7,,3,,3,2,1,2,5,3,5,1,9 24,,
Willington,,,,0,1,1,,2,,,1,1,,,1,1 4,,
Wilton,,,1,1,,,,0,,,1,1,,,,0 2,,
Winchester,1,,3,4,2,2,,4,,2,1,3,,1,2,3 14,,
Windham,1,2,5,8,5,,1,6,,5,1,6,,,5,5 25,,
Windsor,1,3,5,9,4,10,2,16,6,3,4,13,3,2,4,9 47,,
Windsor Locks,,,1,1,2,,,2,2,,2,4,1,3,,4 11,,
Wolcott,,1,1,2,1,1,3,5,,2,5,7,1,3,,4 18,,
Woodbridge,,,,0,,1,1,2,,2,2,4,,,1,1 7,,
Woodbury,,1,1,2,3,1,,4,,3,1,4,,2,1,3 13,,
Woodstock,1,,2,3,1,,3,4,3,1,4,8,1,1,1,3 18,,
,310,336,479,1125,434,400,314,1148,485,432,450,1367,443,529,478,"1,450 5,090",,
