2009 Lis Penden Filings,,,,,,,,,,,,,,,,,,Connecticut
Town,January,February,March,Qtr 1,April,May,June,Qtr 2,July,August,September,Qtr 3,October,November,December,Qtr 4,Total 4 qtrs,
Andover,2,2,2,6,2,1,3,6,3,,2,5,2,2,1,5,22,
Ansonia,8,9,17,34,11,14,6,31,20,12,11,43,7,17,18,42,150,
Ashford,1,4,2,7,3,6,1,10,,2,2,4,6,1,2,9,30,
Avon,2,9,6,17,6,11,8,25,7,8,6,21,3,6,4,13,76,
Barkhamsted,1,2,4,7,,1,2,3,,2,1,3,1,2,,3,16,
Beacon Falls,5,4,3,12,5,5,7,17,3,5,3,11,3,6,4,13,53,
Berlin,3,6,7,16,4,6,5,15,4,6,6,16,7,4,1,12,59,
Bethany,3,,3,6,1,2,4,7,2,12,2,16,2,5,1,8,37,
Bethel,12,18,5,35,16,6,1,23,7,20,6,33,7,13,14,34,125,
Bethlehem,,1,5,6,3,3,,6,1,2,1,4,,,1,1,17,
Bloomfield,15,9,15,39,25,15,11,51,16,13,15,44,10,23,13,46,180,
Bolton,3,4,2,9,3,2,1,6,2,2,2,6,1,2,,3,24,
Bozrah,,4,,4,1,1,1,3,,2,1,3,3,,1,4,14,
Branford,19,21,20,60,14,21,12,47,18,20,15,53,18,21,25,64,224,
Bridgeport,205,214,201,620,182,214,238,634,148,201,209,558,120,150,252,522,2334,
Bridgewater,,1,,1,1,1,1,3,,2,,2,,1,,1,7,
Bristol,22,28,30,80,39,34,33,106,29,43,29,101,31,43,37,111,398,
Brookfield,2,11,3,16,9,6,7,22,2,7,10,19,6,7,12,25,82,
Brooklyn,2,1,9,12,6,4,4,14,8,7,,15,1,5,4,10,51,
Burlington,4,4,6,14,2,3,3,8,1,3,5,9,2,4,2,8,39,
Canaan,1,1,,2,,,,0,,1,,1,,,1,1,4,
Canterbury,3,5,6,14,4,4,2,10,1,1,1,3,4,3,3,10,37,
Canton,3,1,3,7,4,7,1,12,2,5,2,9,5,7,3,15,43,
Chaplin,2,2,1,5,1,5,3,9,1,,1,2,5,,3,8,24,
Cheshire,14,8,16,38,8,13,8,29,15,11,12,38,13,11,13,37,142,
Chester,1,1,2,4,,3,1,4,1,4,1,6,2,4,1,7,21,
Clinton,5,7,13,25,2,7,7,16,6,7,3,16,12,13,11,36,93,
Colchester,6,12,13,31,14,3,7,24,4,13,6,23,3,7,7,17,95,
Colebrook,2,,,2,,,,0,1,1,,2,1,,1,2,6,
Columbia,,2,,2,1,3,2,6,3,1,2,6,3,3,1,7,21,
Cornwall,,,,0,2,1,,3,1,1,,2,1,,1,2,7,
Coventry,3,6,9,18,4,6,4,14,6,6,6,18,5,12,7,24,74,
Cromwell,8,20,11,39,13,5,9,27,13,8,5,26,7,12,5,24,116,
Danbury,46,56,66,168,49,76,52,177,43,71,53,167,33,60,47,140,652,
Darien,2,4,3,9,4,6,5,15,9,6,2,17,7,6,9,22,63,
Deep River,2,1,,3,4,4,3,11,1,1,1,3,2,4,1,7,24,
Derby,13,4,6,23,16,5,6,27,10,9,8,27,11,3,9,23,100,
Durham,2,3,4,9,4,,2,6,4,4,2,10,2,4,,6,31,
East Granby,2,1,,3,1,5,3,9,,2,2,4,,3,3,6,22,
East Haddam,2,7,7,16,8,5,6,19,5,2,2,9,3,5,3,11,55,
East Hampton,4,6,8,18,4,8,3,15,10,5,5,20,4,1,4,9,62,
East Hartford,32,53,55,140,40,39,29,108,37,41,31,109,31,49,39,119,476,
East Haven,26,30,36,92,24,43,38,105,22,34,21,77,11,24,33,68,342,
East Lyme,3,6,7,16,11,8,2,21,3,6,3,12,2,15,3,20,69,
2009 Lis Penden Filings,,,,,,,,,,,,,,,,,,Connecticut
Town,January,February,March,Qtr 1,April,May,June,Qtr 2,July,August,September,Qtr 3,October,November,December,Qtr 4,Total 4 qtrs,
East Windsor,7,8,7,22,4,6,3,13,6,4,5,15,4,1,6,11,61,
Eastford,,1,1,2,1,,1,2,,1,1,2,,1,,1,7,
Easton,2,3,1,6,3,3,2,8,8,8,2,18,4,3,3,10,42,
Ellington,9,1,3,13,5,3,7,15,4,5,6,15,2,5,8,15,58,
