Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
Canterbury 24,2,1,0,3,3,1,3,7,3,4,4,11,0,0 3 3,
Canton 21,0,2,1,3,4,0,2,6,2,1,3,6,4,0 2 6,
Chaplin 8,0,1,0,1,3,1,0,4,0,0,1,1,1,1 0 2,
Cheshire 57,1,1,3,5,11,5,2,18,6,6,11,23,1,5 5 11,
Chester 7,0,0,1,1,2,1,1,4,0,0,0,0,0,0 2 2,
Clinton 44,5,0,1,6,13,7,2,22,4,1,3,8,4,1 3 8,
Colchester 39,2,7,2,11,6,1,2,9,3,4,5,12,1,2 4 7,
Colebrook 5,1,0,1,2,1,1,0,2,1,0,0,1,0,0 0 0,
Columbia 10,0,0,3,3,4,1,0,5,1,0,0,1,1,0 0 1,
Cornwall 2,0,0,0,0,1,0,0,1,0,1,0,1,0,0 0 0,
Coventry 48,5,4,3,12,1,5,5,11,4,6,6,16,0,5 4 9,
Cromwell 92,2,17,7,26,11,4,6,21,9,7,21,37,2,2 4 8,
Danbury 268,16,26,21,63,29,22,13,64,24,7,30,61,13,12 55 80,
Darien 21,1,2,3,6,0,4,0,4,1,3,5,9,1,0 1 2,
Deep River 16,0,1,3,4,4,0,2,6,1,1,1,3,1,1 1 3,
Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,2011,
Derby 71,3,4,7,14,5,4,1,10,0,0,11,11,26,1 9 36,
Durham 7,1,1,0,2,0,0,0,0,2,1,0,3,1,1 0 2,
East Granby 11,2,0,0,2,0,0,0,0,0,3,4,7,2,0 0 2,
East Haddam 26,2,1,3,6,6,4,1,11,1,2,5,8,1,0 0 1,
East Hampton 32,3,0,3,6,4,2,2,8,3,2,3,8,3,0 7 10,
East Hartford 241,22,20,14,56,21,17,15,53,24,26,28,78,10,10 34 54,
East Haven 213,7,42,7,56,38,13,17,68,24,9,24,57,7,7 18 32,
East Lyme 32,0,3,2,5,6,7,0,13,3,3,3,9,0,2 3 5,
East Windsor 30,3,0,4,7,6,2,2,10,0,2,2,4,4,2 3 9,
Eastford 5,0,1,1,2,1,0,0,1,0,1,0,1,0,0 1 1,
Easton 17,2,0,1,3,1,0,2,3,6,1,0,7,0,2 2 4,
Ellington 22,2,2,2,6,0,3,0,3,2,2,3,7,0,2 4 6,
Enfield 115,6,11,13,30,10,7,16,33,8,16,7,31,11,3 7 21,
Essex 21,0,0,0,0,4,1,4,9,2,4,3,9,0,0 3 3,
Fairfield 153,7,7,8,22,2,18,28,48,10,9,20,39,13,14 17 44,
Farmington 30,1,3,3,7,4,2,1,7,2,2,5,9,2,2 3 7,
Franklin 6,0,1,1,2,1,0,0,1,0,1,0,1,1,1 0 2,
Glastonbury 71,5,6,6,17,12,8,8,28,6,5,3,14,4,1 7 12,
Goshen 2,0,0,0,0,0,0,1,1,0,0,1,1,0,0 0 0,
Granby 21,5,5,0,10,2,3,0,5,1,0,1,2,1,1 2 4,
Greenwich 55,5,5,1,11,11,13,0,24,3,2,9,14,5,1 0 6,
Griswold 53,4,9,10,23,5,0,4,9,3,3,4,10,5,3 3 11,
Groton 79,7,10,7,24,12,4,8,24,5,6,3,14,5,3 9 17,
Guilford 44,2,2,4,8,7,4,2,13,4,5,6,15,2,3 3 8,
Haddam 38,6,2,0,8,4,5,2,11,2,3,3,8,2,4 5 11,
Hamden 260,10,12,11,33,21,41,12,74,31,11,28,70,14,31 38 83,
Hampton 8,0,1,1,2,0,1,2,3,0,1,1,2,0,0 1 1,
Hartford 446,26,18,21,65,57,63,73,193,42,30,38,110,16,37 25 78,
Hartland 4,0,0,1,1,0,1,0,1,0,1,0,1,1,0 0 1,
Harwinton 11,2,3,1,6,1,0,1,2,0,0,0,0,2,1 0 3,
Hebron 14,1,0,0,1,2,2,3,7,1,1,4,6,0,0 0 0,
Kent 12,0,3,0,3,1,1,1,3,1,2,0,3,0,0 3 3,
Killingly 76,6,6,3,15,9,4,9,22,11,10,8,29,1,3 6 10,
Killingworth 15,1,0,0,1,2,4,2,8,0,1,3,4,1,1 0 2,
Lebanon 26,1,3,3,7,2,0,1,3,7,1,4,12,1,2 1 4,
Ledyard 54,4,1,11,16,3,3,8,14,5,6,1,12,7,2 3 12,
Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,2011,
Lisbon 20,4,3,0,7,1,3,0,4,0,2,5,7,1,0 1 2,
Litchfield 21,2,5,0,7,1,1,3,5,1,2,3,6,0,2 1 3,
Lyme 5,0,0,2,2,0,1,0,1,0,1,0,1,0,0 1 1,
Madison 44,4,1,13,18,2,3,5,10,1,4,3,8,2,0 6 8,
